epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,1561.68,0.40895,0.54004,0.35622,0.85344,0,0.93349,0.85151,0.9377,0.80905,0.93577,0.85854,0.94115,0.74497,0.42268,0.60006,0.40036,0.85858,0,0.0005735,0.0005735,0.0005735
84,1580.12,0.4135,0.53626,0.35165,0.85251,0,0.90668,0.89008,0.9386,0.82227,0.91262,0.89564,0.93765,0.75704,0.42043,0.59619,0.39615,0.85968,0,0.00056525,0.00056525,0.00056525
85,1599.32,0.41814,0.54358,0.35207,0.85452,0,0.92107,0.9018,0.94299,0.81837,0.89557,0.90752,0.93713,0.75847,0.4255,0.59026,0.39428,0.85118,0,0.000557,0.000557,0.000557
86,1621.82,0.41532,0.53858,0.36049,0.85449,0,0.90798,0.91144,0.93997,0.82753,0.89784,0.9227,0.93412,0.75634,0.4125,0.59397,0.39079,0.8496,0,0.00054875,0.00054875,0.00054875
87,1643.24,0.43519,0.53719,0.36036,0.85583,0,0.92327,0.90188,0.93537,0.81513,0.92327,0.90188,0.93655,0.759,0.41008,0.61585,0.38543,0.85781,0,0.0005405,0.0005405,0.0005405
88,1663.91,0.42622,0.55843,0.36354,0.86008,0,0.9486,0.89804,0.9424,0.81665,0.94369,0.89684,0.94372,0.76266,0.42777,0.57531,0.39678,0.86085,0,0.00053225,0.00053225,0.00053225
89,1684.31,0.41168,0.52917,0.35349,0.85405,0,0.94835,0.89544,0.94421,0.82825,0.94873,0.89579,0.94996,0.76074,0.40449,0.60557,0.38903,0.85079,0,0.000524,0.000524,0.000524
90,1703.29,0.41814,0.54249,0.35552,0.85355,0,0.91472,0.91449,0.94981,0.82506,0.90984,0.90928,0.94653,0.75872,0.40917,0.64574,0.38312,0.84732,0,0.00051575,0.00051575,0.00051575
91,1722.02,0.40874,0.55955,0.3485,0.85584,0,0.91663,0.91093,0.94403,0.82678,0.91746,0.91128,0.94821,0.75102,0.40656,0.63488,0.38264,0.84785,0,0.0005075,0.0005075,0.0005075
92,1740.47,0.41347,0.53274,0.35479,0.85734,0,0.92728,0.89956,0.94666,0.8332,0.92815,0.89991,0.94538,0.75628,0.40928,0.6468,0.38204,0.85013,0,0.00049925,0.00049925,0.00049925
93,1759.11,0.41619,0.54853,0.35318,0.85049,0,0.92199,0.89993,0.9355,0.83316,0.93281,0.91015,0.9415,0.76147,0.40679,0.64037,0.39086,0.85387,0,0.000491,0.000491,0.000491
94,1777.82,0.40533,0.49199,0.34335,0.85789,0,0.93602,0.88375,0.93054,0.83057,0.93595,0.89817,0.93809,0.7574,0.3956,0.62927,0.3876,0.8527,0,0.00048275,0.00048275,0.00048275
95,1798.48,0.39843,0.52437,0.33958,0.84901,0,0.92613,0.89138,0.93068,0.83714,0.93235,0.89686,0.9336,0.7628,0.38267,0.62995,0.39172,0.83665,0,0.0004745,0.0004745,0.0004745
96,1818.98,0.40015,0.50853,0.33745,0.8435,0,0.93862,0.88172,0.93135,0.83364,0.93395,0.88584,0.9309,0.76715,0.39845,0.59814,0.39327,0.84026,0,0.00046625,0.00046625,0.00046625
97,1837.93,0.39486,0.50122,0.33586,0.85453,0,0.90643,0.92019,0.9357,0.83415,0.90643,0.92019,0.93311,0.75834,0.4017,0.62581,0.38691,0.84574,0,0.000458,0.000458,0.000458
98,1856.61,0.40212,0.52536,0.34121,0.85463,0,0.92806,0.90658,0.93768,0.83678,0.91846,0.89078,0.92888,0.759,0.40135,0.59195,0.39285,0.84574,0,0.00044975,0.00044975,0.00044975
99,1875.06,0.41154,0.53264,0.34101,0.86181,0,0.91969,0.90747,0.9458,0.84103,0.8896,0.91993,0.93924,0.76222,0.40812,0.62083,0.37514,0.84942,0,0.0004415,0.0004415,0.0004415
100,1894.59,0.39806,0.50914,0.33547,0.85259,0,0.93358,0.89146,0.93532,0.83118,0.93955,0.89679,0.9401,0.75856,0.39816,0.57926,0.36542,0.84767,0,0.00043325,0.00043325,0.00043325
